2026-02-03 11:15:01,311 - VALO360 - DEBUG - 找到指令檔: D:\((Python TOOL\指令工具-20250428T020034Z-001\360-command-tool\Command_TABLE\command.txt
2026-02-03 11:15:01,517 - VALO360 - INFO - 成功載入 94 個指令
2026-02-03 11:15:01,563 - VALO360 - INFO - main.py 啟動
2026-02-03 11:15:01,563 - VALO360 - INFO - 指令通主程式啟動
2026-02-03 11:15:01,564 - VALO360 - INFO - 程式啟動時檢查安全簽名...
2026-02-03 11:15:01,567 - VALO360 - INFO - 安全簽名驗證通過，開始創建GUI...
2026-02-03 11:15:01,568 - VALO360 - DEBUG - ConfigManager: 自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - ConfigManager自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - 未找到關鍵字高亮設定文件，使用空設定
2026-02-03 11:15:01,804 - VALO360 - DEBUG - 配置已備份至: backup\setup_backup_20260203_111501.json
2026-02-03 11:15:01,813 - VALO360 - DEBUG - 已刪除舊備份: backup\setup_backup_20260108_102814.json
2026-02-03 11:15:01,814 - VALO360 - DEBUG - 配置載入成功
2026-02-03 11:15:01,816 - VALO360 - INFO - 統一設定管理器已初始化
2026-02-03 11:24:19,103 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:22,118 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:25,135 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:28,157 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:31,165 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:34,174 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:37,196 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:40,213 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:43,235 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:46,241 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:49,249 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:52,266 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:55,287 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:58,296 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:25:01,310 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:25:04,322 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:25:06,152 - VALO360 - DEBUG - 配置已備份至: backup\setup_backup_20260203_112506.json
2026-02-03 11:25:06,157 - VALO360 - DEBUG - 已刪除舊備份: backup\setup_backup_20260108_104606.json
2026-02-03 11:25:06,158 - VALO360 - DEBUG - 配置保存成功
